2018-12-03 15:39:46.331130
START
-----------------------------------------------------------------Iter 1
-83 | P1 | 7A:C1 | cs_secure
-----------------------------------------------------------------Iter 4
-46 | L1 | 85:F3 | cs_guest
-46 | L1 | 85:F2 | cs_labs
-46 | L1 | 85:F0 | cs_secure
-48 | L1 | 85:E3 | cs_guest
-49 | L1 | 85:E0 | cs_secure
-52 | L1 | 85:E2 | cs_labs
-53 | L2 | 7C:10 | cs_secure
-53 | L2 | 7C:13 | cs_labs
-53 | L2 | 7C:11 | cs_guest
-54 | L2 | 7C:00 | cs_secure
-57 | S1 | 85:B3 | cs_labs
-57 | S1 | 85:B1 | cs_guest
-57 | S1 | 85:B0 | cs_secure
-58 | S2 | E1:73 | cs_guest
-58 | S2 | E1:72 | cs_labs
-58 | S2 | E1:70 | cs_secure
-58 | H1 | 7A:F3 | cs_labs
-58 | H1 | 7A:F0 | cs_secure
-59 | L2 | 7C:03 | cs_labs
-59 | H1 | 7A:F1 | cs_guest
-60 | L2 | 7C:01 | cs_guest
-61 | H1 | 7A:E1 | cs_guest
-61 | H1 | 7A:E3 | cs_labs
-62 | H1 | 7A:E0 | cs_secure
-64 | S1 | 85:A3 | cs_labs
-65 | S1 | 85:A0 | cs_secure
-65 | S1 | 85:A1 | cs_guest
-65 | S2 | E1:63 | cs_guest
-65 | S2 | E1:60 | cs_secure
-66 | P2 | 7B:A1 | cs_guest
-66 | P2 | 7B:B3 | cs_labs
-66 | P2 | 7B:B1 | cs_guest
-66 | P2 | 7B:B0 | cs_secure
-68 | H4 | 77:71 | cs_guest
-68 | H2 | 77:13 | cs_labs
-68 | H2 | 77:11 | cs_guest
-68 | H2 | 77:10 | cs_secure
-70 | H3 | FC:90 | cs_guest
-71 | H3 | FC:93 | cs_labs
-72 | H4 | 77:73 | cs_labs
-73 | P2 | 7B:A0 | cs_secure
-73 | H2 | 77:03 | cs_labs
-73 | H4 | 77:70 | cs_secure
-74 | P2 | 7B:A3 | cs_labs
-74 | H2 | 77:00 | cs_secure
-75 | P1 | 7A:D1 | cs_secure
-75 | P1 | 7A:D0 | cs_guest
-75 | H2 | 77:01 | cs_guest
-79 | S2 | E1:62 | cs_labs
-81 | P1 | 7A:C3 | cs_labs
-83 | P1 | 7A:C1 | cs_secure
-----------------------------------------------------------------Iter 5
-47 | L1 | 85:F3 | cs_guest
-47 | L1 | 85:F2 | cs_labs
-47 | L1 | 85:F0 | cs_secure
-49 | L1 | 85:E0 | cs_secure
-50 | L1 | 85:E3 | cs_guest
-50 | L1 | 85:E2 | cs_labs
-50 | L2 | 7C:13 | cs_labs
-50 | L2 | 7C:11 | cs_guest
-50 | L2 | 7C:10 | cs_secure
-51 | P2 | 7B:A0 | cs_secure
-55 | L2 | 7C:00 | cs_secure
-55 | L2 | 7C:01 | cs_guest
-55 | S2 | E1:73 | cs_guest
-55 | S2 | E1:72 | cs_labs
-55 | S2 | E1:70 | cs_secure
-56 | L2 | 7C:03 | cs_labs
-56 | H1 | 7A:F3 | cs_labs
-56 | H1 | 7A:F1 | cs_guest
-56 | H1 | 7A:F0 | cs_secure
-56 | S1 | 85:B3 | cs_labs
-56 | S1 | 85:B1 | cs_guest
-56 | S1 | 85:B0 | cs_secure
-60 | H1 | 7A:E0 | cs_secure
-61 | S1 | 85:A0 | cs_secure
-61 | S1 | 85:A3 | cs_labs
-61 | H1 | 7A:E3 | cs_labs
-62 | H1 | 7A:E1 | cs_guest
-64 | P2 | 7B:B3 | cs_labs
-64 | P2 | 7B:B1 | cs_guest
-65 | S1 | 85:A1 | cs_guest
-65 | S2 | E1:60 | cs_secure
-65 | S2 | E1:63 | cs_guest
-65 | P2 | 7B:B0 | cs_secure
-66 | P2 | 7B:A1 | cs_guest
-68 | H2 | 77:10 | cs_secure
-68 | H2 | 77:11 | cs_guest
-68 | H2 | 77:13 | cs_labs
-69 | H3 | FC:92 | cs_secure
-70 | H3 | FC:93 | cs_labs
-71 | P1 | 7A:D1 | cs_secure
-72 | H3 | FC:83 | cs_labs
-73 | H2 | 77:03 | cs_labs
-73 | H4 | 77:70 | cs_secure
-73 | H4 | 77:73 | cs_labs
-73 | H4 | 77:71 | cs_guest
-74 | H2 | 77:00 | cs_secure
-75 | H2 | 77:01 | cs_guest
-76 | H3 | FC:82 | cs_secure
-79 | S2 | E1:62 | cs_labs
-81 | P1 | 7A:C3 | cs_labs
-----------------------------------------------------------------Iter 6
-48 | L1 | 85:F2 | cs_labs
-49 | L1 | 85:E0 | cs_secure
-49 | L1 | 85:F3 | cs_guest
-49 | L1 | 85:F0 | cs_secure
-50 | L1 | 85:E2 | cs_labs
-50 | L1 | 85:E3 | cs_guest
-50 | L2 | 7C:11 | cs_guest
-51 | L2 | 7C:13 | cs_labs
-51 | L2 | 7C:10 | cs_secure
-55 | S2 | E1:72 | cs_labs
-55 | S2 | E1:70 | cs_secure
-55 | S1 | 85:B1 | cs_guest
-55 | S1 | 85:B0 | cs_secure
-56 | S2 | E1:73 | cs_guest
-56 | S1 | 85:B3 | cs_labs
-57 | L2 | 7C:00 | cs_secure
-58 | L2 | 7C:03 | cs_labs
-58 | H2 | 77:10 | cs_secure
-58 | H2 | 77:13 | cs_labs
-58 | H2 | 77:11 | cs_guest
-58 | H1 | 7A:F1 | cs_guest
